City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Weather
80,Punta Arenas,CL,-53.15,-70.9167,42.91,65,40,41.43,moderate rain
81,Lebu,CL,-37.6167,-73.65,53.19,64,97,4.41,overcast clouds
82,Dikson,RU,73.5069,80.5464,10.67,87,100,12.44,overcast clouds
83,Marsh Harbour,BS,26.5412,-77.0636,76.87,87,100,14.18,overcast clouds
84,Abong Mbang,CM,3.9833,13.1833,78.98,75,90,1.12,light rain
85,Constitucion,CL,-35.3333,-72.4167,57.7,54,9,14.76,clear sky
86,Ust-Ilimsk,RU,58.0006,102.6619,34.57,75,100,8.99,overcast clouds
87,Kapaa,US,22.0752,-159.319,75.52,92,40,16.11,light rain
88,Yellowknife,CA,62.456,-114.3525,40.41,86,100,18.01,overcast clouds
89,Nytva,RU,57.9404,55.334,44.49,77,88,10.2,overcast clouds
90,Cidreira,BR,-30.1811,-50.2056,75.13,64,59,12.62,broken clouds
91,Kruisfontein,ZA,-34.0033,24.7314,65.88,58,2,26.87,clear sky
92,Embu,BR,-23.6489,-46.8522,88.75,62,0,8.61,clear sky
93,Ginda,IN,30.6945,78.4932,51.85,83,0,6.49,clear sky
94,Airai,TL,-8.9266,125.4092,62.89,89,92,1.79,overcast clouds
95,Puerto Ayora,EC,-0.7393,-90.3518,69.76,79,97,8.81,overcast clouds
96,Jamestown,US,42.097,-79.2353,47.01,87,40,1.01,scattered clouds
97,Qaanaaq,GL,77.484,-69.3632,-1.03,59,0,8.7,clear sky
98,Ostrovnoy,RU,68.0531,39.5131,31.23,80,100,15.55,light snow
99,Tiksi,RU,71.6872,128.8694,-1.77,100,98,3.65,overcast clouds
100,Mahebourg,MU,-20.4081,57.7,76.24,78,15,10.74,few clouds
101,Kirksville,US,40.1948,-92.5833,48.11,74,82,5.01,broken clouds
102,Munster,DE,51.9624,7.6257,57.18,66,20,8.05,few clouds
103,Bredasdorp,ZA,-34.5322,20.0403,57.27,56,84,16.55,light rain
104,Buin,CL,-33.7333,-70.75,62.92,29,16,2.64,few clouds
105,Moron,AR,-34.6534,-58.6198,66.99,69,94,9.48,overcast clouds
106,Kingman,US,35.1894,-114.053,64.9,20,1,4.61,clear sky
107,Bluff,NZ,-46.6,168.3333,52.86,85,100,5.21,overcast clouds
108,Katsuura,JP,35.1333,140.3,57.31,58,2,11.7,clear sky
109,Castro,BR,-24.7911,-50.0119,75.54,39,100,9.82,overcast clouds
110,Faya,SA,18.3851,42.4509,72.12,38,7,2.86,clear sky
111,Damietta,EG,31.4165,31.8133,72.16,57,0,11.54,clear sky
112,Wembley,AU,-31.9333,115.8,61.68,77,0,9.22,clear sky
113,Ribeira Grande,PT,38.5167,-28.7,72.0,64,20,10.36,few clouds
114,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,73,0,18.41,clear sky
115,Chapais,CA,49.7834,-74.8492,33.58,66,96,4.74,overcast clouds
116,Pangody,RU,65.85,74.4859,31.89,99,100,6.98,snow
117,Lavrentiya,RU,65.5833,-171.0,25.56,84,100,9.66,overcast clouds
118,Chulman,RU,56.8479,124.9104,21.76,94,17,2.28,few clouds
119,Ishigaki,JP,24.3448,124.1572,77.02,64,97,18.61,overcast clouds
120,Lakes Entrance,AU,-37.8811,147.981,52.57,72,65,17.36,broken clouds
121,Narsaq,GL,60.9167,-46.05,37.62,85,100,1.36,overcast clouds
122,Busselton,AU,-33.65,115.3333,56.08,85,2,7.56,clear sky
123,Hilo,US,19.7297,-155.09,72.81,96,90,6.91,mist
124,Carroll,US,39.5501,-77.0164,60.66,75,78,1.01,broken clouds
125,New Norfolk,AU,-42.7826,147.0587,52.66,82,100,7.0,overcast clouds
126,Codrington,AU,-38.2667,141.9667,49.42,88,15,10.96,few clouds
127,Kavieng,PG,-2.5744,150.7967,82.71,76,63,16.08,light rain
128,Thompson,CA,55.7435,-97.8558,32.7,86,100,3.2,overcast clouds
129,Fukue,JP,32.6881,128.8419,65.46,57,1,18.88,clear sky
130,Wajima,JP,37.4,136.9,57.52,54,99,5.77,overcast clouds
131,Husavik,IS,66.0449,-17.3389,40.96,97,100,3.69,overcast clouds
132,Yueyang,CN,29.3333,113.0919,56.89,67,7,5.28,light rain
133,Uvira,CD,-3.4067,29.1458,81.91,65,75,3.38,broken clouds
134,Luganville,VU,-15.5333,167.1667,77.63,89,75,4.34,broken clouds
135,Gaogou,CN,34.0175,119.1886,56.5,70,100,5.19,light rain
136,Garden City,US,42.3256,-83.331,50.99,85,90,11.5,overcast clouds
137,Ulaanbaatar,MN,47.9077,106.8832,23.13,58,0,0.0,clear sky
138,Upernavik,GL,72.7868,-56.1549,17.67,85,68,3.98,broken clouds
139,Adrar,MR,20.5022,-10.0711,90.05,13,34,1.88,scattered clouds
140,Lompoc,US,34.6391,-120.4579,58.37,89,1,0.0,mist
141,Ulladulla,AU,-35.35,150.4667,65.77,93,95,12.71,overcast clouds
142,Ranong,TH,9.9658,98.6348,77.85,90,97,4.23,overcast clouds
143,Beauceville,CA,46.2179,-70.7787,42.51,64,93,3.69,overcast clouds
