City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
74,Faya,SA,72.12,clear sky,18.3851,42.4509,املاك خالد الشعشوع
75,Damietta,EG,72.16,clear sky,31.4165,31.8133,SULIMAN INN
76,Wembley,AU,61.68,clear sky,-31.9333,115.8,Quest on Rheola
77,Ribeira Grande,PT,72.0,few clouds,38.5167,-28.7,Quinta da Meia Eira
78,Arraial Do Cabo,BR,76.86,clear sky,-22.9661,-42.0278,Pousada Porto Praia
79,Ishigaki,JP,77.02,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
80,Lakes Entrance,AU,52.57,broken clouds,-37.8811,147.981,The Esplanade Resort & Spa
81,Busselton,AU,56.08,clear sky,-33.65,115.3333,Observatory Guest House
82,Hilo,US,72.81,mist,19.7297,-155.09,Hilo Hawaiian Hotel
83,Carroll,US,60.66,broken clouds,39.5501,-77.0164,Best Western Westminster Hotel
84,New Norfolk,AU,52.66,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
85,Kavieng,PG,82.71,light rain,-2.5744,150.7967,Nusa Island Retreat
86,Fukue,JP,65.46,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
87,Wajima,JP,57.52,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
88,Yueyang,CN,56.89,light rain,29.3333,113.0919,Delong Fortune Hotel
89,Uvira,CD,81.91,broken clouds,-3.4067,29.1458,Hotel Suzana
90,Luganville,VU,77.63,broken clouds,-15.5333,167.1667,The Espiritu Hotel
91,Gaogou,CN,56.5,light rain,34.0175,119.1886,GreenTree Inn JiangSu Huaian Gaogou Town First Street Shell Hotel
92,Garden City,US,50.99,overcast clouds,42.3256,-83.331,Quality Inn & Suites Banquet Center
94,Lompoc,US,58.37,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
95,Ulladulla,AU,65.77,overcast clouds,-35.35,150.4667,Sandpiper Motel
96,Ranong,TH,77.85,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
97,Porto Santo,PT,74.3,few clouds,33.072,-16.3415,Hotel Porto Santo & Spa
98,Soyo,AO,81.28,broken clouds,-6.1349,12.3689,Hotel Mpampa
99,Saint-Philippe,RE,78.39,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
100,Namibe,AO,73.62,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
